DateId;Orders
20230101;161366,0647
20230102;296627,3247
20230103;378262,3686
20230104;320907,5834
20230105;93098,2144
20230106;140995,0784
20230107;248716,3431
20230108;212705,7981
20230109;286593,9463
20230110;357968,9934
20230111;304639,3262
20230112;236187,9574
20230113;178601,8778
20230114;251435,1491
20230115;205728,7467
20230116;288830,2036
20230117;374966,7041
20230118;311219,0192
20230119;235043,2174
20230120;175583,3351
20230121;233077,5585
20230122;195019,4986
20230123;283479,1687
20230124;357093,1139
20230125;323887,4668
20230126;238748,6505
20230127;179273,1071
20230128;259085,9732
20230129;210535,5129
20230130;292809,1391
20230131;350183,1967
20230201;299369,7267
20230202;224440,1729
20230203;170231,0176
20230204;239400,5739
20230205;205230,0598
20230206;266380,2364
20230207;341865,114
20230208;296523,2942
20230209;217125,8706
20230210;163447,7773
20230211;229915,41
20230212;198054,3869
20230213;284970,468
20230214;345967,606
20230215;300895,6864
20230216;219190,9041
20230217;158162,0034
20230218;223753,6755
20230219;186283,7367
20230220;266426,0754
20230221;344932,5137
20230222;297498,616
20230223;221188,8519
20230224;174031,324
20230225;229432,9535
20230226;196447,1691
20230227;280533,749
20230228;362499,5399
20230301;312375,4208
20230302;239184,3055
20230303;181631,9003
20230304;253714,9925
20230305;207506,8476
20230306;289968,0394
20230307;366691,5245
20230308;309052,3807
20230309;231594,4002
20230310;182919,1243
20230311;249583,267
20230312;220062,6766
20230313;292691,0555
20230314;364170,812
20230315;311630,1447
20230316;252489,5276
20230317;177940,5679
20230318;247709,9083
20230319;216436,119
20230320;290653,8146
20230321;368739,1861
20230322;313320,1945
20230323;243278,7702
20230324;176168,0261
20230325;250424,0836
20230326;213647,6407
20230327;286412,5049
20230328;371874,372
20230329;311083,487
20230330;231397,2568
20230331;198634,4539
20230401;263428,1076
20230402;231282,6314
20230403;296946,6641
20230404;377331,5232
20230405;326721,2166
20230406;254692,671
20230407;192855,9173
20230408;101554,4307
20230409;72473,49456
20230410;248929,9151
20230411;384415,1438
20230412;343159,2604
20230413;258350,057
20230414;199346,294
20230415;270335,2621
20230416;238508,757
20230417;312814,732
20230418;386065,4987
20230419;338706,7982
20230420;262438,3429
20230421;203162,2247
20230422;270435,3162
20230423;240809,4494
20230424;313789,2076
20230425;382020,7609
20230426;337412,7455
20230427;258434,5777
20230428;198170,4985
20230429;276241,7098
20230430;93346,21993
20230501;233774,5683
20230502;149809,7905
20230503;269326,9722
20230504;245606,299
20230505;191837,0952
20230506;268806,9903
20230507;227040,1226
20230508;296912,1344
20230509;375431,927
20230510;325661,4705
20230511;251302,6177
20230512;191028,4129
20230513;248494,1754
20230514;222046,8153
20230515;305257,6893
20230516;393106,4672
20230517;336571,6556
20230518;255777,5368
20230519;192744,9361
20230520;266492,5238
20230521;219980,5952
20230522;312084,2497
20230523;378352,0684
20230524;327529,9133
20230525;244651,9645
20230526;186423,4154
20230527;107618,7641
20230528;182159,6669
20230529;298204,3186
20230530;392502,7558
20230531;351180,6672
20230601;268775,7137
20230602;212889,5619
20230603;280810,2311
20230604;243351,7326
20230605;319010,0348
20230606;402423,5704
20230607;138924,9118
20230608;224124,7236
20230609;205845,1801
20230610;285493,8698
20230611;244137,0989
20230612;318382,7704
20230613;395950,5259
20230614;343438,2297
20230615;272540,1529
20230616;211291,6304
20230617;276749,3952
20230618;254261,6156
20230619;342182,9358
20230620;407175,5856
20230621;355103,6594
20230622;278415,7717
20230623;215675,3118
20230624;281839,9682
20230625;243752,5188
20230626;318761,1136
20230627;405862,5429
20230628;353999,2382
20230629;275189,2086
20230630;234540,9226
20230701;311920,1064
20230702;271194,8787
20230703;341508,3025
20230704;408415,0228
20230705;366880,5781
20230706;274851,837
20230707;220586,6602
20230708;290150,1653
20230709;260239,0383
20230710;343583,5773
20230711;407871,345
20230712;364601,1439
20230713;294806,6812
20230714;220563,877
20230715;285506,6932
20230716;264767,8025
20230717;342524,8374
20230718;411261,5519
20230719;366256,962
20230720;291596,6638
20230721;221002,3474
20230722;287646,9803
20230723;256535,4048
20230724;337234,0654
20230725;411058,5806
20230726;360659,8716
20230727;291381,8182
20230728;228342,4737
20230729;301805,403
20230730;257117,4991
20230731;325037,6553
20230801;397332,7699
20230802;362443,7898
20230803;289111,987
20230804;213557,2377
20230805;285826,377
20230806;247148,7474
20230807;325592,5057
20230808;412750,7772
20230809;357521,8115
20230810;278859,6819
20230811;217828,0543
20230812;283596,3475
20230813;253140,2573
20230814;133792,4742
20230815;327138,1265
20230816;360684,8366
20230817;290267,3517
20230818;224701,6174
20230819;288689,8918
20230820;258273,4407
20230821;339493,3137
20230822;416068,1078
20230823;362661,7619
20230824;284980,4918
20230825;222432,3178
20230826;285916,8934
20230827;257302,2851
20230828;334471,0576
20230829;407334,9262
20230830;354357,4417
